url, status_code
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=1, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=1, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=2, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=3, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=4, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=5, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=6, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=7, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=8, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=9, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=10, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=11, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=12, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=13, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=14, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=15, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=16, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=17, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=18, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=19, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=20, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=21, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=22, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=23, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=24, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=25, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=26, 200
